session_name,Legislator,District,Role,Party,Residence,Gender,Desk Number,Profession,Notes,session_year,regular
1849 Regular,"Mulkey, H.J.",1,NA,NA,Benton,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Smith, G.B.",2,NA,NA,Benton,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Chapman, W.W.",3,NA,NA,Champoeg,Male,NA,NA,Champoeg County later changed to Marion,1849,TRUE
1849 Regular,"Matlock, W.T.",4,NA,NA,Champoeg,Male,NA,NA,Champoeg County later changed to Marion County,1849,TRUE
1849 Regular,"Walling, G.",6,NA,NA,Clackamas,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Lovejoy, Asa Lawrence",7,Speaker,NA,Clackamas,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Holman, W. D.",8,NA,NA,Clackamas,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Simmons, M.T.",9,NA,NA,"Clatsop, Lewis, Vancouver",Male,NA,NA,Vancouver County later changed to Clarke County,1849,TRUE
1849 Regular,"Conser, Jacob S.",10,NA,NA,Linn,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Dunlap, J.A.",11,NA,NA,Linn,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Holmes, H.N.V.",12,NA,NA,Polk,Male,NA,NA,NA,1849,TRUE
1849 Regular,"King, W. M.",12,NA,NA,Polk,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Burch, S.",13,NA,NA,Polk,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Hill, David",14,NA,NA,Tualatin,Male,NA,NA,Tualatin County later changed to Washington County,1849,TRUE
1849 Regular,"Hembree, A.J.",16,NA,NA,Yamhill,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Kinney, R.",17,NA,NA,Yamhill,Male,NA,NA,NA,1849,TRUE
1849 Regular,"Walling, J.B.",18,NA,NA,Yamhill,Male,NA,NA,NA,1849,TRUE
1850 Regular,"Avery, J.C.",1,NA,D,Benton,Male,NA,NA,NA,1850,TRUE
1850 Regular,"St.Clair, W.",2,NA,NA,Benton,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Matlock, W.T.",3,NA,W,Clackamas,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Simpson, Benjamin",4,NA,NA,Clackamas,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Campbell, Hector",5,NA,NA,Clackamas,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Powers, Truman P.",6,NA,NA,"Clackamas, Lewis, Clark",Male,NA,NA,NA,1850,TRUE
1850 Regular,"Allphine, William",7,NA,D,Linn,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Walters, Elias L.",8,NA,NA,Linn,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Harding, B.F.",9,NA,D,Marion,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Shaw, William",10,NA,NA,Marion,Male,NA,NA,NA,1850,TRUE
1850 Regular,"Parker, William",11,NA,NA,Marion,Male,NA,NA,NA,1850,TRUE
