legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Alonso Leon, Teresa",,22,D,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barnhart, Phil",,11,D,Portions of Lane and Linn,Male,60,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Boles, Denyc",,19,R,Portion of Marion,Female,48,Government and Public Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Bonham, Daniel",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,39,Health Science,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Bynum, Janelle",,51,D,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2018 Special Session - May 21, 2018 (60)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,14,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Fahey, Julie",,14,D,Portion of Lane,Female,30,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Findley, Lynn",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Education and Training,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,40,Health Science,,"Session : 2018 Special Session - May 21, 2018 (60)"
"Helfrich, Jeffrey",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Retired,,"Session : 2018 Special Session - May 21, 2018 (60)"
